Date,USD Price
24/03/2026,71554
23/03/2026,70517
22/03/2026,70914
21/03/2026,67845
20/03/2026,68711
19/03/2026,70522
18/03/2026,69912
17/03/2026,71245
16/03/2026,73922
15/03/2026,74861
14/03/2026,72789
13/03/2026,71214
12/03/2026,70968
11/03/2026,70493
10/03/2026,70204
09/03/2026,69926
08/03/2026,68402
07/03/2026,65969
06/03/2026,67272
05/03/2026,68136
04/03/2026,70841
03/03/2026,72710
02/03/2026,68775
01/03/2026,65738
28/02/2026,66995
27/02/2026,65881
26/02/2026,67453
25/02/2026,67960
24/02/2026,64080
23/02/2026,64646
22/02/2026,67659
21/02/2026,68003
20/02/2026,68005
19/02/2026,66957
18/02/2026,66425
17/02/2026,67494
16/02/2026,68908
15/02/2026,68717
14/02/2026,69766
13/02/2026,68839
12/02/2026,66185
11/02/2026,66938
10/02/2026,68780
09/02/2026,70096
08/02/2026,70542
07/02/2026,69297
06/02/2026,70524
05/02/2026,62854
04/02/2026,73172
03/02/2026,75639
02/02/2026,78725.85854
01/02/2026,84141.77857
31/01/2026,84570.40906
30/01/2026,89162.09702
29/01/2026,89204.2224
28/01/2026,88307.86
27/01/2026,86548.32213
26/01/2026,89170.87365
25/01/2026,89412.3985
24/01/2026,89443.39744
23/01/2026,89354.34378
22/01/2026,88312.84053
21/01/2026,92558.46334
20/01/2026,93752.70577
19/01/2026,95099.53193
18/01/2026,95516.07772
17/01/2026,95584.82798
16/01/2026,97007.78079
15/01/2026,95260.4423
14/01/2026,95012.8
13/01/2026,95395.5
12/01/2026,91271.9
11/01/2026,90935.4
10/01/2026,90485.1
09/01/2026,90605
08/01/2026,91081.7
07/01/2026,91342.6
06/01/2026,93739.3
05/01/2026,93862.2
04/01/2026,91545.4
03/01/2026,90621.9
02/01/2026,89982.7
01/01/2026,88812.1
31/12/2025,87612.7
30/12/2025,88469.6
29/12/2025,87217.7
28/12/2025,87904.3
27/12/2025,87850.8
26/12/2025,87357.9
25/12/2025,87249.3
24/12/2025,87656.8
23/12/2025,87467.9
22/12/2025,88547.2
21/12/2025,88636.8
20/12/2025,88364
19/12/2025,88131.4
18/12/2025,85510.1
17/12/2025,86230.2
16/12/2025,87853.4
15/12/2025,86428.6
14/12/2025,88155.3
13/12/2025,90249.3
12/12/2025,90272
11/12/2025,92507.4
10/12/2025,91996.1
09/12/2025,92693
08/12/2025,90636.2
07/12/2025,90413.6
06/12/2025,89209.8
05/12/2025,89333.6
04/12/2025,92082.8
03/12/2025,93437.2
02/12/2025,91287.6
01/12/2025,86309.1
30/11/2025,90374.2
29/11/2025,90800.5
28/11/2025,90894.7
27/11/2025,91324.6
26/11/2025,90496.5
25/11/2025,87366.8
24/11/2025,88296.5
23/11/2025,86826.6
22/11/2025,84721.6
21/11/2025,85131
20/11/2025,86613.9
19/11/2025,91544.1
18/11/2025,92962.3
17/11/2025,92195
16/11/2025,94259.8
15/11/2025,95587.6
14/11/2025,94554.3
13/11/2025,99728.7
12/11/2025,101658.3
11/11/2025,103046.7
10/11/2025,106006.9
09/11/2025,104722.4
08/11/2025,102311.1
07/11/2025,103325.4
06/11/2025,101325.7
05/11/2025,103896.7
04/11/2025,101504.3
03/11/2025,106578.1
02/11/2025,110586.6
01/11/2025,110103.6
31/10/2025,109602.8
30/10/2025,108320.1
